ID_Commande,ID_Fournisseur,ID_Acheteur,Date_Commande,Date_Livraison_Prevue,Date_Livraison_Reelle,Produit,Quantite,Prix_Unitaire,Montant_Total,Statut,Note_Qualite,Conforme,Commentaires
C0001,F002,A001,2025-03-04,2025-03-18,2025-03-07,Consommables,67,574.36,38482.12,Livrée,8.5,Non,Livraison parfaite
C0002,F002,A002,2025-02-26,2025-03-03,2025-03-08,Outillage,43,711.82,30608.26,Livrée,7.2,Oui,Livraison parfaite
C0003,F009,A004,2024-10-07,2024-10-15,2024-10-14,Services IT,87,37.34,3248.58,Livrée,7.8,Oui,Petit retard acceptable
C0004,F004,A002,2025-03-29,2025-04-08,2025-04-15,Fournitures Bureau,97,829.59,80470.23,Livrée,9.9,Oui,Conforme aux attentes
C0005,F003,A004,2025-09-09,2025-09-15,2025-09-24,Services IT,17,404.83,6882.11,Livrée,9.0,Oui,Livraison parfaite
C0006,F012,A005,2025-08-08,2025-08-13,2025-08-17,Composants Électroniques,34,247.39,8411.26,Livrée,6.7,Non,Qualité excellente
C0007,F015,A005,2025-04-01,2025-04-11,2025-04-08,Services IT,76,570.38,43348.88,Livrée,6.5,Oui,Livraison parfaite
C0008,F014,A004,2024-11-10,2024-11-19,2024-11-27,Consommables,90,496.7,44703.0,Livrée,6.7,Oui,Petit retard acceptable
C0009,F004,A002,2024-10-04,2024-10-12,2024-10-09,Consommables,19,508.1,9653.9,Retard,8.6,Oui,Livraison parfaite
C0010,F001,A004,2025-05-29,2025-06-06,2025-05-31,Matières Premières,35,646.86,22640.1,Livrée,8.2,Non,Petit retard acceptable
C0011,F011,A004,2025-03-11,2025-03-17,,Matières Premières,35,343.19,12011.65,Livrée,7.5,Oui,Petit retard acceptable
C0012,F007,A004,2025-01-17,2025-01-31,2025-01-26,Matériel Informatique,36,423.77,15255.72,Annulée,8.2,Oui,Qualité excellente
C0013,F003,A004,2025-05-09,2025-05-15,2025-05-26,Matériel Informatique,23,931.45,21423.35,Retard,7.7,Oui,Conforme aux attentes
C0014,F001,A004,2025-09-20,2025-10-03,2025-10-07,Services IT,49,62.95,3084.55,Annulée,9.4,Oui,
C0015,F010,A005,2025-05-05,2025-05-14,2025-05-24,Outillage,52,675.79,35141.08,En_Cours,9.2,Oui,Livraison parfaite
C0016,F014,A002,2024-11-05,2024-11-14,2024-11-12,Matières Premières,76,691.15,52527.4,En_Cours,9.5,Oui,Petit retard acceptable
C0017,F009,A002,2025-03-11,2025-03-25,2025-03-21,Fournitures Bureau,38,986.77,37497.26,Livrée,7.5,Oui,Très satisfait
C0018,F004,A004,2025-04-29,2025-05-09,2025-05-12,Services IT,61,384.21,23436.81,En_Cours,7.0,Oui,Petit retard acceptable
C0019,F002,A004,2025-03-16,2025-03-30,2025-03-29,Matériel Informatique,61,824.56,50298.16,En_Cours,8.7,Oui,Petit retard acceptable
C0020,F006,A005,2025-08-02,2025-08-12,2025-08-03,Fournitures Bureau,80,532.42,42593.6,Annulée,6.3,Oui,
C0021,F001,A001,2024-11-10,2024-11-19,2024-11-19,Services IT,16,739.73,11835.68,Retard,9.8,Oui,Petit retard acceptable
C0022,F010,A004,2025-02-27,2025-03-07,2025-03-07,Consommables,60,587.82,35269.2,Livrée,9.9,Non,Qualité excellente
C0023,F001,A005,2025-02-16,2025-02-24,2025-02-25,Services IT,6,950.3,5701.8,En_Cours,8.5,Oui,Très satisfait
